,date,station,NO,NO2,NOX,precipitation
57,27/02/2016,Ariel,1.5,13.3,15.6,0.0
58,28/02/2016,Ariel,2.1,14.2,17.4,0.0
59,29/02/2016,Ariel,1.1,10.6,12.3,0.0
60,01/03/2016,Ariel,0.9,7.9,9.3,0.0
61,02/03/2016,Ariel,0.9,8.0,9.3,0.5
62,03/03/2016,Ariel,1.5,13.4,15.6,1.3
63,04/03/2016,Ariel,1.3,7.1,9.1,0.0
64,05/03/2016,Ariel,1.1,6.1,7.8,0.0
65,06/03/2016,Ariel,1.8,12.5,15.3,0.0
66,07/03/2016,Ariel,1.3,16.5,18.4,0.0
67,08/03/2016,Ariel,1.8,19.7,22.4,0.0
68,09/03/2016,Ariel,1.2,13.8,15.6,0.0
69,10/03/2016,Ariel,1.5,16.5,18.8,0.0
70,11/03/2016,Ariel,1.35,15.15,17.2,0.0
71,12/03/2016,Ariel,1.425,15.825,18.0,0.0
72,13/03/2016,Ariel,1.3875000000000002,15.4875,17.6,0.7
73,14/03/2016,Ariel,0.9437500000000001,13.24375,14.65,0.0
74,15/03/2016,Ariel,0.5,11.0,11.7,12.0
75,16/03/2016,Ariel,0.0,8.1,8.2,2.7
76,17/03/2016,Ariel,-0.2,8.0,7.6,0.0
77,18/03/2016,Ariel,-0.7,5.1,4.0,0.0
78,19/03/2016,Ariel,-0.8,4.8,3.6,0.0
79,20/03/2016,Ariel,0.7,6.7,7.8,1.8
80,21/03/2016,Ariel,-0.1,9.8,9.7,0.1
81,22/03/2016,Ariel,0.2,16.0,16.3,0.0
82,23/03/2016,Ariel,-0.7,10.2,9.2,0.0
83,24/03/2016,Ariel,-0.6,12.8,11.9,0.0
84,25/03/2016,Ariel,-1.0,8.8,7.3,0.1
85,26/03/2016,Ariel,-0.9,6.4,5.0,0.6
86,27/03/2016,Ariel,-0.1,9.3,9.1,7.3
87,28/03/2016,Ariel,-0.6,9.4,8.4,5.6
88,29/03/2016,Ariel,-0.8,11.5,10.3,0.0
89,30/03/2016,Ariel,-1.5,9.8,7.5,0.0
90,31/03/2016,Ariel,-1.1,12.4,10.7,0.0
91,01/04/2016,Ariel,0.0,8.6,6.0,0.0
92,02/04/2016,Ariel,0.0,7.8,5.3,0.0
93,03/04/2016,Ariel,0.1,18.6,17.0,0.0
94,04/04/2016,Ariel,0.3,18.0,16.9,0.0
95,05/04/2016,Ariel,0.1,15.6,13.8,0.0
96,06/04/2016,Ariel,0.3,18.6,17.6,0.0
97,07/04/2016,Ariel,0.1,13.4,11.5,0.0
98,08/04/2016,Ariel,0.0,8.9,6.5,0.0
99,09/04/2016,Ariel,0.0,6.8,4.2,0.0
100,10/04/2016,Ariel,0.6,17.1,16.2,0.0
101,11/04/2016,Ariel,0.1,11.8,10.2,0.8
102,12/04/2016,Ariel,0.0,8.6,6.6,19.8
103,13/04/2016,Ariel,0.1,9.0,8.2,2.3
104,14/04/2016,Ariel,0.6,10.1,10.9,0.0
105,15/04/2016,Ariel,0.2,7.1,7.3,0.0
106,16/04/2016,Ariel,3.0,11.1,15.2,0.0
107,17/04/2016,Ariel,0.8,11.7,12.7,0.0
108,18/04/2016,Ariel,1.1,13.9,15.3,0.0
109,19/04/2016,Ariel,0.1,10.7,10.4,0.0
110,20/04/2016,Ariel,0.0,7.5,7.0,0.0
111,21/04/2016,Ariel,0.3,14.0,14.3,0.0
112,22/04/2016,Ariel,0.1,7.0,7.0,0.0
113,23/04/2016,Ariel,0.1,11.7,11.6,0.0
114,24/04/2016,Ariel,0.9,13.5,14.8,0.0
115,25/04/2016,Ariel,0.4,8.6,9.0,0.0
116,26/04/2016,Ariel,0.1,8.5,8.4,0.0
117,27/04/2016,Ariel,0.2,6.1,6.3,0.0
118,28/04/2016,Ariel,0.2,5.5,5.6,0.0
119,29/04/2016,Ariel,0.0,6.8,6.6,0.0
120,30/04/2016,Ariel,0.0,5.9,5.6,0.0
121,01/05/2016,Ariel,0.4,9.5,9.9,0.0
122,02/05/2016,Ariel,0.5,9.0,9.6,0.0
123,03/05/2016,Ariel,0.4,9.6,10.1,0.0
124,04/05/2016,Ariel,0.3,6.9,7.3,0.0
125,05/05/2016,Ariel,0.3,6.9,7.3,0.0
126,06/05/2016,Ariel,0.2,4.9,5.0,0.0
127,07/05/2016,Ariel,0.0,4.8,4.7,0.0
128,08/05/2016,Ariel,0.3,9.3,9.5,0.0
129,09/05/2016,Ariel,0.5,13.8,14.4,0.0
130,10/05/2016,Ariel,1.3,20.0,21.8,0.0
131,11/05/2016,Ariel,0.2,7.1,7.3,0.0
132,12/05/2016,Ariel,0.5,21.1,21.7,0.0
133,13/05/2016,Ariel,0.1,7.5,7.2,0.0
134,14/05/2016,Ariel,0.2,5.0,5.3,0.0
135,15/05/2016,Ariel,0.3,7.0,7.3,0.0
136,16/05/2016,Ariel,0.8,18.5,19.6,0.0
137,17/05/2016,Ariel,2.0,14.9,17.8,0.0
138,18/05/2016,Ariel,0.5,7.4,8.1,0.0
139,19/05/2016,Ariel,0.5,7.8,8.4,0.0
140,20/05/2016,Ariel,0.1,6.9,6.9,0.0
141,21/05/2016,Ariel,0.6,13.0,13.8,0.0
142,22/05/2016,Ariel,0.7,14.9,15.9,0.0
143,23/05/2016,Ariel,0.7,6.2,7.2,1.2
144,24/05/2016,Ariel,0.9,9.3,10.6,1.8
145,25/05/2016,Ariel,0.4,10.5,11.1,0.0
146,26/05/2016,Ariel,1.5,9.6,11.7,0.0
147,27/05/2016,Ariel,0.2,3.9,4.1,0.0
148,28/05/2016,Ariel,0.0,3.4,3.4,0.2
149,29/05/2016,Ariel,0.3,7.2,7.5,0.0
150,30/05/2016,Ariel,0.3,14.0,14.4,0.0
151,31/05/2016,Ariel,0.5,11.7,12.2,0.0
152,01/06/2016,Ariel,0.6,15.4,16.2,0.0
153,02/06/2016,Ariel,9.9,37.4,52.4,0.0
154,03/06/2016,Ariel,0.2,11.1,11.4,0.0
155,04/06/2016,Ariel,2.7,12.8,16.8,0.0
156,05/06/2016,Ariel,1.3,12.2,14.1,0.0
157,06/06/2016,Ariel,0.3,9.2,9.5,0.0
158,07/06/2016,Ariel,0.4,10.0,10.4,0.0
159,08/06/2016,Ariel,1.1,20.1,21.6,0.0
160,09/06/2016,Ariel,0.6,8.6,9.2,0.0
161,10/06/2016,Ariel,0.1,4.9,4.8,0.0
162,11/06/2016,Ariel,0.0,4.1,4.0,0.0
163,12/06/2016,Ariel,0.4,6.9,7.5,0.0
164,13/06/2016,Ariel,0.2,13.8,13.8,0.0
165,14/06/2016,Ariel,0.6,16.0,16.8,0.0
166,15/06/2016,Ariel,0.6,7.8,8.6,0.0
167,16/06/2016,Ariel,0.4,6.7,7.3,0.0
168,17/06/2016,Ariel,1.4,14.7,16.8,0.0
169,18/06/2016,Ariel,0.6,7.8,8.3,0.0
170,19/06/2016,Ariel,0.95,12.0,13.200000000000001,0.0
171,20/06/2016,Ariel,1.3,16.2,18.1,0.0
172,21/06/2016,Ariel,0.4,10.7,10.9,0.0
173,22/06/2016,Ariel,0.4,11.2,11.8,0.0
174,23/06/2016,Ariel,0.3,13.0,13.2,0.0
175,24/06/2016,Ariel,0.7,8.6,9.6,0.0
176,25/06/2016,Ariel,0.7,6.3,7.2,0.0
177,26/06/2016,Ariel,1.9,9.3,12.1,0.0
178,27/06/2016,Ariel,0.5,12.4,11.3,0.0
179,28/06/2016,Ariel,2.3,8.6,12.0,0.0
180,29/06/2016,Ariel,2.3,8.4,11.7,0.0
181,30/06/2016,Ariel,2.4,8.2,11.5,0.0
182,01/07/2016,Ariel,1.5,12.6,14.7,0.0
183,02/07/2016,Ariel,2.3,4.1,7.3,0.0
184,03/07/2016,Ariel,0.4,7.9,8.2,0.0
185,04/07/2016,Ariel,0.3,7.8,8.1,0.0
186,05/07/2016,Ariel,0.9,7.8,9.0,0.0
187,06/07/2016,Ariel,0.6,7.8,8.55,0.0
188,07/07/2016,Ariel,0.75,7.8,8.775,0.0
189,08/07/2016,Ariel,0.675,7.8,8.662500000000001,0.0
190,09/07/2016,Ariel,0.7125,7.8,8.71875,0.0
191,10/07/2016,Ariel,0.6937500000000001,7.8,8.690625,0.0
192,11/07/2016,Ariel,0.703125,7.8,8.7046875,0.0
193,12/07/2016,Ariel,0.6984375,7.8,8.697656250000001,0.0
194,13/07/2016,Ariel,0.70078125,7.8,8.701171875,0.0
195,14/07/2016,Ariel,0.6996093750000001,7.8,8.6994140625,0.0
196,15/07/2016,Ariel,0.7001953125,7.8,8.70029296875,0.0
197,16/07/2016,Ariel,0.69990234375,7.8,8.699853515625001,0.0
198,17/07/2016,Ariel,0.700048828125,7.8,8.7000732421875,0.0
199,18/07/2016,Ariel,0.6999755859375001,7.8,8.69996337890625,0.0
200,19/07/2016,Ariel,0.70001220703125,7.8,8.700018310546875,0.0
201,20/07/2016,Ariel,0.699993896484375,7.8,8.699990844726564,0.0
202,21/07/2016,Ariel,0.7000030517578125,7.8,8.700004577636719,0.0
203,22/07/2016,Ariel,0.6999984741210938,7.8,8.699997711181641,0.0
204,23/07/2016,Ariel,0.7000007629394531,7.8,8.70000114440918,0.0
205,24/07/2016,Ariel,0.6999996185302735,7.8,8.699999427795412,0.0
206,25/07/2016,Ariel,0.7000001907348633,7.8,8.700000286102295,0.0
207,26/07/2016,Ariel,0.6999999046325684,7.8,8.699999856948853,0.0
208,27/07/2016,Ariel,0.7000000476837158,7.8,8.700000071525574,0.0
209,28/07/2016,Ariel,0.6999999761581421,7.8,8.699999964237215,0.0
210,29/07/2016,Ariel,0.700000011920929,7.8,8.700000017881393,0.0
211,30/07/2016,Ariel,0.6999999940395356,7.8,8.699999991059304,0.0
212,31/07/2016,Ariel,0.7000000029802322,7.8,8.700000004470349,0.0
213,01/08/2016,Ariel,2.000000001490116,11.5,14.500000002235176,0.0
214,02/08/2016,Ariel,3.3,15.2,20.3,0.0
215,03/08/2016,Ariel,3.3,19.9,24.9,0.0
216,04/08/2016,Ariel,2.7,12.4,16.4,0.0
217,05/08/2016,Ariel,3.0,9.4,14.0,0.0
218,06/08/2016,Ariel,2.6,6.2,10.2,0.0
219,07/08/2016,Ariel,2.6,8.6,12.6,0.0
220,08/08/2016,Ariel,2.8,7.4,11.6,0.0
221,09/08/2016,Ariel,2.7,8.4,12.5,0.0
222,10/08/2016,Ariel,2.4,8.8,12.4,0.0
223,11/08/2016,Ariel,1.8,7.2,9.9,0.0
224,12/08/2016,Ariel,2.1,5.9,9.1,0.0
225,13/08/2016,Ariel,3.3,4.1,9.0,0.0
226,14/08/2016,Ariel,1.5,5.1,6.7,0.0
227,15/08/2016,Ariel,0.4,4.5,4.7,0.0
228,16/08/2016,Ariel,0.4,5.3,5.4,0.0
229,17/08/2016,Ariel,0.1,5.0,4.3,0.0
230,18/08/2016,Ariel,0.1,5.1,4.7,0.0
231,19/08/2016,Ariel,0.0,6.5,6.2,0.0
232,20/08/2016,Ariel,1.0,16.6,17.8,0.0
233,21/08/2016,Ariel,0.8,13.2,14.3,0.0
234,22/08/2016,Ariel,0.2,6.6,6.6,0.0
235,23/08/2016,Ariel,0.2,6.8,6.9,0.0
236,24/08/2016,Ariel,0.2,4.0,4.2,0.0
237,25/08/2016,Ariel,0.2,4.8,5.0,0.0
238,26/08/2016,Ariel,0.0,3.2,2.9,0.0
239,27/08/2016,Ariel,0.4,8.4,8.7,0.0
240,28/08/2016,Ariel,0.7,9.7,10.6,0.0
241,29/08/2016,Ariel,1.3,12.2,14.1,0.0
242,30/08/2016,Ariel,0.7,8.1,8.9,0.0
243,31/08/2016,Ariel,0.4,4.3,4.8,0.0
244,01/09/2016,Ariel,0.0,4.9,5.0,0.0
245,02/09/2016,Ariel,-0.2,2.2,1.9,0.0
246,03/09/2016,Ariel,-0.3,1.3,0.9,0.0
247,04/09/2016,Ariel,0.3,8.4,8.9,0.0
248,05/09/2016,Ariel,0.1,6.7,6.9,0.0
249,06/09/2016,Ariel,0.2,5.6,5.8,0.0
250,07/09/2016,Ariel,0.3,6.4,6.9,0.0
251,08/09/2016,Ariel,0.8,8.5,9.8,0.0
252,09/09/2016,Ariel,0.7,15.3,16.4,0.0
253,10/09/2016,Ariel,1.6,24.9,27.3,0.0
254,11/09/2016,Ariel,2.2,30.0,33.4,0.0
255,12/09/2016,Ariel,0.7,10.7,11.7,0.0
256,13/09/2016,Ariel,0.4,3.1,3.7,0.0
257,14/09/2016,Ariel,0.1,4.8,4.9,0.0
258,15/09/2016,Ariel,0.2,5.3,5.6,0.0
259,16/09/2016,Ariel,0.1,3.3,3.5,0.0
260,17/09/2016,Ariel,0.0,4.2,4.2,0.0
261,18/09/2016,Ariel,0.4,6.3,7.0,0.0
262,19/09/2016,Ariel,0.3,8.3,8.7,0.0
263,20/09/2016,Ariel,5.3,20.0,28.0,0.0
264,21/09/2016,Ariel,3.8,17.5,23.2,0.0
265,22/09/2016,Ariel,1.0,6.5,8.1,0.0
266,23/09/2016,Ariel,1.8,3.7,6.4,0.0
267,24/09/2016,Ariel,1.7,4.9,7.6,0.0
268,25/09/2016,Ariel,1.6,9.8,12.2,0.0
269,26/09/2016,Ariel,1.7,8.0,10.6,0.0
270,27/09/2016,Ariel,2.1,7.4,10.6,0.0
271,28/09/2016,Ariel,2.1,9.1,12.3,0.0
272,29/09/2016,Ariel,2.3,9.4,12.8,0.0
273,30/09/2016,Ariel,2.1,7.0,10.1,0.0
274,01/10/2016,Ariel,1.7,3.3,5.9,0.0
275,02/10/2016,Ariel,1.5,3.7,5.9,0.0
276,03/10/2016,Ariel,0.9,7.1,8.5,0.0
277,04/10/2016,Ariel,1.3,5.2,7.1,0.0
278,05/10/2016,Ariel,1.6,7.2,9.6,0.0
279,06/10/2016,Ariel,1.6,7.3,9.8,0.0
280,07/10/2016,Ariel,1.2,7.5,9.3,0.0
281,08/10/2016,Ariel,1.6,5.5,7.9,0.0
282,09/10/2016,Ariel,2.2,7.5,10.8,0.0
283,10/10/2016,Ariel,1.9,9.1,11.9,0.0
284,11/10/2016,Ariel,1.5,3.6,5.9,0.0
285,12/10/2016,Ariel,1.4,4.6,6.7,0.0
286,13/10/2016,Ariel,1.45,4.1,6.300000000000001,0.0
287,14/10/2016,Ariel,1.4249999999999998,4.35,6.5,0.0
288,15/10/2016,Ariel,1.4375,4.225,6.4,0.0
289,16/10/2016,Ariel,1.43125,4.2875,6.45,0.0
290,17/10/2016,Ariel,1.434375,4.25625,6.425000000000001,0.0
291,18/10/2016,Ariel,1.4328124999999998,4.271875,6.4375,0.0
292,19/10/2016,Ariel,1.43359375,4.2640625,6.43125,0.0
293,20/10/2016,Ariel,1.433203125,4.26796875,6.434375,0.0
294,21/10/2016,Ariel,1.4333984375,4.266015625,6.432812500000001,0.0
295,22/10/2016,Ariel,1.4333007812499998,4.2669921875,6.43359375,0.0
296,23/10/2016,Ariel,1.433349609375,4.26650390625,6.433203125,0.0
297,24/10/2016,Ariel,1.4333251953125,4.266748046875,6.4333984375,0.0
298,25/10/2016,Ariel,0.86666259765625,7.6333740234375,8.41669921875,0.0
299,26/10/2016,Ariel,0.3,11.0,10.4,0.0
300,27/10/2016,Ariel,0.1,12.3,11.4,0.0
301,28/10/2016,Ariel,0.0,4.2,3.0,0.0
302,29/10/2016,Ariel,0.0,6.2,4.9,0.0
303,30/10/2016,Ariel,0.3,8.7,8.3,0.0
304,31/10/2016,Ariel,0.2,7.5,7.3,0.0
305,01/11/2016,Ariel,0.1,4.0,3.3,2.9
306,02/11/2016,Ariel,0.2,8.1,7.6,0.0
307,03/11/2016,Ariel,0.0,8.3,7.4,0.0
308,04/11/2016,Ariel,0.1,11.3,10.4,0.0
309,05/11/2016,Ariel,0.0,2.8,1.7,0.0
310,06/11/2016,Ariel,0.2,8.1,7.8,0.0
311,07/11/2016,Ariel,0.1,8.7,8.1,0.0
312,08/11/2016,Ariel,0.3,15.9,15.7,0.0
313,09/11/2016,Ariel,0.0,8.6,7.9,0.0
314,10/11/2016,Ariel,0.5,17.7,17.4,0.0
315,11/11/2016,Ariel,0.3,11.4,10.3,0.0
316,12/11/2016,Ariel,0.0,10.3,8.8,0.0
317,13/11/2016,Ariel,1.3,24.1,25.2,0.0
318,14/11/2016,Ariel,0.6,21.6,21.7,0.0
319,15/11/2016,Ariel,1.3,15.4,16.6,0.0
320,16/11/2016,Ariel,0.4,10.1,9.9,0.0
321,17/11/2016,Ariel,0.2,9.6,9.0,0.0
322,18/11/2016,Ariel,0.1,6.6,5.4,0.0
323,19/11/2016,Ariel,0.0,6.2,4.8,0.0
324,20/11/2016,Ariel,0.0,5.3,4.0,0.0
325,21/11/2016,Ariel,0.0,8.4,7.4,0.0
326,22/11/2016,Ariel,0.0,7.0,5.9,0.0
327,23/11/2016,Ariel,0.0,8.4,7.3,0.0
328,24/11/2016,Ariel,0.0,5.3,4.3,0.0
329,25/11/2016,Ariel,0.0,3.0,1.9,0.0
330,26/11/2016,Ariel,0.0,6.3,5.3,0.0
331,27/11/2016,Ariel,0.0,8.8,7.8,0.0
332,28/11/2016,Ariel,0.0,8.0,6.8,0.0
333,29/11/2016,Ariel,0.6,17.0,17.1,0.1
334,30/11/2016,Ariel,0.1,11.2,10.5,2.0
335,01/12/2016,Ariel,0.0,6.4,5.7,89.4
336,02/12/2016,Ariel,0.1,3.5,3.3,21.1
337,03/12/2016,Ariel,0.0,5.8,4.9,0.0
338,04/12/2016,Ariel,0.0,9.0,8.1,0.0
339,05/12/2016,Ariel,0.9,15.5,16.3,0.0
340,06/12/2016,Ariel,0.4,10.7,10.6,0.0
341,07/12/2016,Ariel,0.7,11.7,12.6,0.0
342,08/12/2016,Ariel,1.1,8.9,10.6,1.0
343,09/12/2016,Ariel,0.9,7.0,8.4,0.0
344,10/12/2016,Ariel,0.5,4.3,5.1,0.0
345,11/12/2016,Ariel,1.2,9.3,11.1,0.0
346,12/12/2016,Ariel,1.1,9.6,11.3,2.9
347,13/12/2016,Ariel,1.1,5.7,7.3,47.0
348,14/12/2016,Ariel,1.2000000000000002,6.4,8.2,11.1
349,15/12/2016,Ariel,1.3,7.1,9.1,1.9
350,16/12/2016,Ariel,1.25,6.75,8.649999999999999,6.8
351,17/12/2016,Ariel,1.275,6.925,8.875,0.2
352,18/12/2016,Ariel,1.2625,6.8375,8.7625,2.3
353,19/12/2016,Ariel,1.2687499999999998,6.88125,8.81875,15.0
354,20/12/2016,Ariel,1.265625,6.859375,8.790624999999999,0.0
355,21/12/2016,Ariel,1.2671875,6.8703125,8.8046875,0.1
356,22/12/2016,Ariel,1.26640625,6.86484375,8.79765625,0.0
357,23/12/2016,Ariel,1.2667968749999998,6.867578125,8.801171875,0.0
358,24/12/2016,Ariel,1.2666015625,6.8662109375,8.799414062499999,1.7
359,25/12/2016,Ariel,1.26669921875,6.86689453125,8.80029296875,25.8
360,26/12/2016,Ariel,1.266650390625,6.866552734375,8.799853515625,11.7
361,27/12/2016,Ariel,0.6833251953125,6.1332763671875,6.8999267578125,35.0
362,28/12/2016,Ariel,0.1,5.4,5.0,0.0
363,29/12/2016,Ariel,0.2,10.8,10.8,0.0
364,30/12/2016,Ariel,0.1,5.3,5.0,0.8
365,31/12/2016,Ariel,0.1,5.8,5.4,0.0
366,01/01/2017,Ariel,0.3,10.4,10.7,0.0
367,02/01/2017,Ariel,0.4,8.6,9.1,0.8
368,03/01/2017,Ariel,0.35,9.5,9.899999999999999,1.7
369,04/01/2017,Ariel,0.375,9.05,9.5,3.1
370,05/01/2017,Ariel,0.3625,9.275,9.7,0.0
371,06/01/2017,Ariel,0.36875,9.162500000000001,9.6,0.0
372,07/01/2017,Ariel,0.365625,9.21875,9.649999999999999,0.0
373,08/01/2017,Ariel,0.3671875,9.190625,9.625,0.2
374,09/01/2017,Ariel,0.18359375,11.5953125,11.0125,0.0
375,10/01/2017,Ariel,0.0,14.0,12.4,0.0
376,11/01/2017,Ariel,0.2,11.4,9.9,0.0
377,12/01/2017,Ariel,2.1,19.9,21.9,0.9
378,13/01/2017,Ariel,0.0,9.8,7.9,0.0
379,14/01/2017,Ariel,0.0,8.2,5.8,4.3
380,15/01/2017,Ariel,0.3,13.0,11.9,0.0
381,16/01/2017,Ariel,0.0,9.5,7.6,0.0
382,17/01/2017,Ariel,0.0,10.3,8.3,0.0
383,18/01/2017,Ariel,0.7,16.2,15.8,0.0
384,19/01/2017,Ariel,0.4,15.8,15.0,0.0
385,20/01/2017,Ariel,0.0,10.1,8.0,0.0
386,21/01/2017,Ariel,0.0,7.2,4.9,0.4
387,22/01/2017,Ariel,0.0,9.8,7.8,0.0
388,23/01/2017,Ariel,0.0,11.1,9.0,0.0
389,24/01/2017,Ariel,0.0,7.7,5.4,0.0
390,25/01/2017,Ariel,0.4,14.3,13.5,0.0
391,26/01/2017,Ariel,1.0,11.7,12.2,14.5
392,27/01/2017,Ariel,1.5,5.9,8.2,13.2
393,28/01/2017,Ariel,1.3,5.3,7.2,6.5
394,29/01/2017,Ariel,1.6,10.1,12.5,0.0
395,30/01/2017,Ariel,2.1,13.8,17.0,0.1
396,31/01/2017,Ariel,2.5,14.1,17.9,14.1
397,01/02/2017,Ariel,1.9,11.0,13.8,0.0
398,02/02/2017,Ariel,2.3,17.4,21.0,0.0
399,03/02/2017,Ariel,1.3,8.3,10.3,0.0
400,04/02/2017,Ariel,1.1,8.9,10.5,0.0
401,05/02/2017,Ariel,3.0,22.2,26.7,0.0
402,06/02/2017,Ariel,1.4,10.8,12.9,0.0
403,07/02/2017,Ariel,1.4,8.6,10.7,0.0
404,08/02/2017,Ariel,2.0,19.0,22.0,0.0
405,09/02/2017,Ariel,2.1,16.6,19.8,0.0
406,10/02/2017,Ariel,1.5,9.2,11.4,0.0
407,11/02/2017,Ariel,1.7,11.5,14.0,9.4
408,12/02/2017,Ariel,2.0,12.6,15.7,21.8
409,13/02/2017,Ariel,2.0,13.4,16.4,16.4
410,14/02/2017,Ariel,1.6,8.8,11.2,18.9
411,15/02/2017,Ariel,2.1,11.8,14.9,6.7
412,16/02/2017,Ariel,1.7,10.1,12.6,2.8
413,17/02/2017,Ariel,1.7,12.8,15.4,0.0
414,18/02/2017,Ariel,1.2,7.5,9.3,0.0
415,19/02/2017,Ariel,1.4,9.7,11.8,0.0
416,20/02/2017,Ariel,2.3,16.5,19.9,0.0
417,21/02/2017,Ariel,2.2,20.2,23.5,0.0
418,22/02/2017,Ariel,2.5,28.4,32.2,0.0
419,23/02/2017,Ariel,1.9,16.0,18.9,0.0
420,24/02/2017,Ariel,1.6,10.9,13.3,0.0
421,25/02/2017,Ariel,1.3,10.1,12.1,0.0
422,26/02/2017,Ariel,2.5,18.2,21.9,0.0
423,27/02/2017,Ariel,1.6,12.3,14.8,0.0
424,28/02/2017,Ariel,1.8,13.0,15.7,0.8
425,01/03/2017,Ariel,1.9,18.0,21.0,1.3
426,02/03/2017,Ariel,1.9,11.5,14.3,0.4
427,03/03/2017,Ariel,1.6,8.8,11.2,1.8
428,04/03/2017,Ariel,1.4,11.5,13.6,0.0
429,05/03/2017,Ariel,1.5,10.7,13.1,0.0
430,06/03/2017,Ariel,1.5,11.7,13.9,0.0
431,07/03/2017,Ariel,2.1,15.2,18.3,0.0
432,08/03/2017,Ariel,1.6,14.5,17.0,0.0
433,09/03/2017,Ariel,1.5,13.8,16.0,0.0
434,10/03/2017,Ariel,1.6,11.8,14.3,2.8
435,11/03/2017,Ariel,1.5,9.3,11.5,0.0
436,12/03/2017,Ariel,1.5,9.2,11.5,2.7
437,13/03/2017,Ariel,1.9,10.8,13.7,0.0
438,14/03/2017,Ariel,1.9,11.3,14.3,0.0
439,15/03/2017,Ariel,1.9,9.8,12.7,0.4
440,16/03/2017,Ariel,1.9,11.6,14.5,0.0
441,17/03/2017,Ariel,1.5,10.0,12.3,0.0
442,18/03/2017,Ariel,1.6,12.8,15.2,0.0
443,19/03/2017,Ariel,2.0,12.0,15.1,0.0
444,20/03/2017,Ariel,1.7,9.5,12.1,0.0
445,21/03/2017,Ariel,1.7,13.4,16.0,0.0
446,22/03/2017,Ariel,2.1,18.3,21.4,1.5
447,23/03/2017,Ariel,2.7,23.1,27.2,0.0
448,24/03/2017,Ariel,1.7,14.1,16.6,0.0
449,25/03/2017,Ariel,1.6,10.4,12.8,0.0
450,26/03/2017,Ariel,3.4,23.7,28.9,0.0
